							
						
#: RE			Photon-jet pT balance in 0-10%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			100 - 158 GeV				
#: Centrality			0-10%				
#Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 0-10%	stat +	stat -	sys +	sys -
0.33552	0.31623	0.35481	1.33232	0.19105	-0.19105	0.20994	-0.20994
0.37646	0.35481	0.39811	1.08532	0.12892	-0.12892	0.11733	-0.11733
0.422395	0.39811	0.44668	0.93444	0.09448	-0.09448	0.08576	-0.08576
0.473935	0.44668	0.50119	0.82	0.07805	-0.07805	0.08821	-0.08821
0.531765	0.50119	0.56234	0.82858	0.07832	-0.07832	0.07556	-0.07556
0.59665	0.56234	0.63096	0.87682	0.07965	-0.07965	0.06182	-0.06182
0.669455	0.63096	0.70795	0.96839	0.08081	-0.08081	0.05906	-0.05906
0.75114	0.70795	0.79433	1.03116	0.08148	-0.08148	0.03394	-0.03394
0.84279	0.79433	0.89125	1.05097	0.08173	-0.08173	0.0357	-0.0357
0.945625	0.89125	1	0.96541	0.08442	-0.08442	0.06733	-0.06733
1.06101	1	1.12202	0.43669	0.05063	-0.05063	0.04565	-0.04565
1.190475	1.12202	1.25893	0.16937	0.0301	-0.0301	0.02367	-0.02367
1.335735	1.25893	1.41254	0.09726	0.02335	-0.02335	0.01831	-0.01831
1.498715	1.41254	1.58489	0.06648	0.02042	-0.02042	0.01493	-0.01493
1.681585	1.58489	1.77828	0.02282	0.01273	-0.01273	0.01054	-0.01054
1.88677	1.77828	1.99526	0.00604	0.00565	-0.00565	0.00486	-0.00486

