#: RE			Photon-jet pT balance in 30-50%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			100 - 158 GeV				
#: Centrality			30-50%				
#Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 30-50%	stat +	stat -	sys +	sys -
0.33552	0.31623	0.35481	0.85125	0.16161	-0.16161	0.11676	-0.11676
0.37646	0.35481	0.39811	0.80323	0.12859	-0.12859	0.07538	-0.07538
0.422395	0.39811	0.44668	0.76383	0.11195	-0.11195	0.04759	-0.04759
0.473935	0.44668	0.50119	0.72397	0.10622	-0.10622	0.07897	-0.07897
0.531765	0.50119	0.56234	0.65581	0.10269	-0.10269	0.03973	-0.03973
0.59665	0.56234	0.63096	0.67549	0.10229	-0.10229	0.04893	-0.04893
0.669455	0.63096	0.70795	0.79539	0.11644	-0.11644	0.06064	-0.06064
0.75114	0.70795	0.79433	0.91174	0.12079	-0.12079	0.09989	-0.09989
0.84279	0.79433	0.89125	1.07941	0.11764	-0.11764	0.11313	-0.11313
0.945625	0.89125	1	1.41562	0.15022	-0.15022	0.07675	-0.07675
1.06101	1	1.12202	0.80152	0.10338	-0.10338	0.07142	-0.07142
1.190475	1.12202	1.25893	0.2808	0.05	-0.05	0.04643	-0.04643
1.335735	1.25893	1.41254	0.1102	0.03081	-0.03081	0.02483	-0.02483
1.498715	1.41254	1.58489	0.04928	0.02618	-0.02618	0.0231	-0.0231
1.681585	1.58489	1.77828	0.01199	0.01325	-0.01325	0.00338	-0.00338
1.88677	1.77828	1.99526	0.00323	0.00437	-0.00437	0.00801	-0.00801

