						
#: RE			Photon-jet pT balance in 10-20%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			158 - 200 GeV				
#: Centrality			10-20%				
#Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 10-20%	stat +	stat -	sys +	sys -
0.22536	0.19953	0.25119	2.1808	0.50779	-0.50779	0.501	-0.501
0.28371	0.25119	0.31623	0.91749	0.23371	-0.23371	0.23718	-0.23718
0.35717	0.31623	0.39811	0.53021	0.1793	-0.1793	0.06811	-0.06811
0.44965	0.39811	0.50119	0.61763	0.20195	-0.20195	0.06232	-0.06232
0.566075	0.50119	0.63096	0.90971	0.23882	-0.23882	0.05645	-0.05645
0.712645	0.63096	0.79433	1.04089	0.23097	-0.23097	0.08197	-0.08197
0.897165	0.79433	1	1.15154	0.24775	-0.24775	0.13644	-0.13644
1.129465	1	1.25893	0.4848	0.14556	-0.14556	0.1097	-0.1097
1.42191	1.25893	1.58489	0.11178	0.06071	-0.06071	0.02703	-0.02703
1.790075	1.58489	1.99526	0.06051	0.04368	-0.04368	0.00674	-0.00674
							

