							
#: RE			Photon-jet pT balance in 30-50%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			158 - 200 GeV				
#: Centrality			30-50%				
#Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 30-50%	stat +	stat -	sys +	sys -
0.22536	0.19953	0.25119	1.74892	0.64298	-0.64298	0.23609	-0.23609
0.28371	0.25119	0.31623	0.77987	0.33192	-0.33192	0.25717	-0.25717
0.35717	0.31623	0.39811	0.27285	0.17487	-0.17487	0.1199	-0.1199
0.44965	0.39811	0.50119	0.50962	0.23143	-0.23143	0.16348	-0.16348
0.566075	0.50119	0.63096	0.9494	0.29054	-0.29054	0.1142	-0.1142
0.712645	0.63096	0.79433	1.20422	0.31485	-0.31485	0.08887	-0.08887
0.897165	0.79433	1	0.87135	0.26605	-0.26605	0.09867	-0.09867
1.129465	1	1.25893	0.64348	0.20608	-0.20608	0.13367	-0.13367
1.42191	1.25893	1.58489	0.11843	0.0734	-0.0734	0.02216	-0.02216
1.790075	1.58489	1.99526	0.00321	0.00432	-0.00432	0.00246	-0.00246

