#: RE			Photon-jet pT balance in 0-10%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			63.1 - 79.6 GeV				
#: Centrality			0-10%				
# Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 0-10%	stat +	stat -	sys +	sys -
0.531765	0.50119	0.56234	1.19274	0.07609	-0.07609	0.15419	-0.15419
0.59665	0.56234	0.63096	0.98879	0.05102	-0.05102	0.12893	-0.12893
0.669455	0.63096	0.70795	0.83497	0.03672	-0.03672	0.12519	-0.12519
0.75114	0.70795	0.79433	0.73725	0.03182	-0.03182	0.09884	-0.09884
0.84279	0.79433	0.89125	0.69665	0.03236	-0.03236	0.08574	-0.08574
0.945625	0.89125	1	0.61455	0.03247	-0.03247	0.09103	-0.09103
1.06101	1	1.12202	0.33048	0.0214	-0.0214	0.06602	-0.06602
1.190475	1.12202	1.25893	0.14538	0.01217	-0.01217	0.03356	-0.03356
1.335735	1.25893	1.41254	0.08078	0.00899	-0.00899	0.01603	-0.01603
1.498715	1.41254	1.58489	0.04992	0.00747	-0.00747	0.01131	-0.01131
1.681585	1.58489	1.77828	0.02804	0.00601	-0.00601	0.0073	-0.0073
1.88677	1.77828	1.99526	0.01137	0.00346	-0.00346	0.00295	-0.00295
