#: RE			Photon-jet pT balance in 50-80%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			63.1 - 79.6 GeV				
#: Centrality			50-80%				
#Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 50-80%	stat +	stat -	sys +	sys -
0.531765	0.50119	0.56234	0.95903	0.1208	-0.1208	0.14145	-0.14145
0.59665	0.56234	0.63096	0.85248	0.10331	-0.10331	0.10498	-0.10498
0.669455	0.63096	0.70795	0.77801	0.09982	-0.09982	0.09084	-0.09084
0.75114	0.70795	0.79433	0.88608	0.10642	-0.10642	0.10546	-0.10546
0.84279	0.79433	0.89125	1.0214	0.11022	-0.11022	0.03137	-0.03137
0.945625	0.89125	1	0.8969	0.10943	-0.10943	0.13264	-0.13264
1.06101	1	1.12202	0.48576	0.0751	-0.0751	0.09458	-0.09458
1.190475	1.12202	1.25893	0.28915	0.053	-0.053	0.03331	-0.03331
1.335735	1.25893	1.41254	0.19887	0.04256	-0.04256	0.03491	-0.03491
1.498715	1.41254	1.58489	0.11267	0.03245	-0.03245	0.02007	-0.02007
1.681585	1.58489	1.77828	0.04534	0.01827	-0.01827	0.01087	-0.01087
1.88677	1.77828	1.99526	0.01397	0.00694	-0.00694	0.00653	-0.00653

