#: RE			Photon-jet pT balance in 0-10%				
#: SQRT(S) [GeV]			5020				
#: pT(gamma)			79.6 - 100 GeV				
#: Centrality			0-10%				
#Photon-jet pT balance xJg	Photon-jet pT balance xJg LOW	Photon-jet pT balance xJg HIGH	(1/Ng)(dN/dxJg) in 0-10%	stat +	stat -	sys +	sys -
0.422395	0.39811	0.44668	1.22087	0.14039	-0.14039	0.21677	-0.21677
0.473935	0.44668	0.50119	1.08138	0.09686	-0.09686	0.12666	-0.12666
0.531765	0.50119	0.56234	1.01155	0.07158	-0.07158	0.10904	-0.10904
0.59665	0.56234	0.63096	0.89792	0.05808	-0.05808	0.07916	-0.07916
0.669455	0.63096	0.70795	0.83583	0.05308	-0.05308	0.05548	-0.05548
0.75114	0.70795	0.79433	0.78731	0.05159	-0.05159	0.06929	-0.06929
0.84279	0.79433	0.89125	0.79785	0.05352	-0.05352	0.05105	-0.05105
0.945625	0.89125	1	0.75308	0.05536	-0.05536	0.07014	-0.07014
1.06101	1	1.12202	0.37209	0.03564	-0.03564	0.04501	-0.04501
1.190475	1.12202	1.25893	0.1425	0.01973	-0.01973	0.02326	-0.02326
1.335735	1.25893	1.41254	0.07729	0.01443	-0.01443	0.01401	-0.01401
1.498715	1.41254	1.58489	0.04841	0.01158	-0.01158	0.01346	-0.01346
1.681585	1.58489	1.77828	0.03204	0.00918	-0.00918	0.01235	-0.01235
1.88677	1.77828	1.99526	0.01376	0.00573	-0.00573	0.00415	-0.00415

