# x xl xh y sys+/- stat+/-
53	50	56	0.782	0.033	-0.028	0.009	-0.009
59.5	56	63	0.819	0.025	-0.023	0.012	-0.012
66.5	63	70	0.828	0.019	-0.02	0.014	-0.014
74.5	70	79	0.833	0.016	-0.017	0.017	-0.017
84	79	89	0.861	0.01	-0.01	0.022	-0.022
94.5	89	100	0.881	0.007	-0.006	0.027	-0.027
106	100	112	0.867	0.007	-0.006	0.012	-0.012
118.5	112	125	0.869	0.007	-0.009	0.013	-0.013
133	125	141	0.909	0.007	-0.009	0.014	-0.014
149.5	141	158	0.924	0.007	-0.007	0.017	-0.017
167.5	158	177	0.874	0.008	-0.007	0.021	-0.021
188	177	199	0.857	0.008	-0.007	0.027	-0.027
225	199	251	0.918	0.006	-0.007	0.031	-0.031
324.5	251	398	0.86	0	0	0.05	-0.05


