# pTjet [GeV/c]	dsigma/dpT/dy [pb/GeV*c]
32.500	1.0206e+06
37.500	5.2761e+05
42.500	2.9116e+05
47.500	1.6618e+05
55.000	8.0826e+04
65.000	3.4384e+04
75.000	1.6003e+04
85.000	8.1318e+03
95.000	4.4649e+03
105.000	2.5302e+03
115.000	1.5381e+03
130.000	7.8193e+02
150.000	3.3734e+02
170.000	1.6087e+02
190.000	8.1878e+01
220.000	3.4410e+01
260.000	1.1759e+01
300.000	4.5196e+00
340.000	1.9153e+00
380.000	8.7036e-01
450.000	2.7971e-01
550.000	5.6815e-02
700.000	8.8449e-03
900.000	7.2710e-04
1100.000	6.9135e-05
